symbol,company,listing_date
JSFB,Jana Small Finance Bank Limited,2024-02-14
JSLL,Jeena Sikho Lifecare Limited,2025-08-11
JSWCEMENT,JSW Cement Limited,2025-08-14
JSWINFRA,JSW Infrastructure Limited,2023-10-03
JUBLCPL,Jubilant Agri and Consumer Products Limited,2025-02-14
JUNIPER,Juniper Hotels Limited,2024-02-28
JYOTICNC,Jyoti CNC Automation Limited,2024-01-16
KALPATARU,Kalpataru Limited,2025-07-01
KMEW,Knowledge Marine & Engineering Works Limited,2024-11-14
KPEL,K.P. Energy Limited,2024-11-14
KRISHIVAL,Krishival Foods Limited,2025-06-20
KRN,KRN Heat Exchanger and Refrigeration Limited,2024-10-03
KRONOX,Kronox Lab Sciences Limited,2024-06-10
KROSS,Kross Limited,2024-09-16
KRYSTAL,Krystal Integrated Services Limited,2024-03-21
LANCORHOL,Lancor Holdings Limited,2024-03-12
LAXMIDENTL,Laxmi Dental Limited,2025-01-20
LAXMIINDIA,Laxmi India Finance Limited,2025-08-05
LGHL,Laxmi Goldorna House Limited,2023-11-10
LLOYDSENT,Lloyds Enterprises Limited,2024-10-17
LOTUSDEV,Sri Lotus Developers and Realty Limited,2025-08-06
MAMATA,Mamata Machinery Limited,2024-12-27
MANBA,Manba Finance Limited,2024-09-30
MANCREDIT,Mangal Credit and Fincorp Limited,2024-08-16
MASTERTR,Master Trust Limited,2024-11-12
MAXESTATES,Max Estates Limited,2023-10-30
MBEL,M & B Engineering Limited,2025-08-06
MCLOUD,Magellanic Cloud Limited,2025-02-07
MEDIASSIST,Medi Assist Healthcare Services Limited,2024-01-23
MEIL,Mangal Electrical Industries Limited,2025-08-28
MFML,Mahalaxmi Fabric Mills Limited,2024-08-27
MOBIKWIK,One Mobikwik Systems Limited,2024-12-18
MOSCHIP,Moschip Technologies Limited,2025-02-05
MOTISONS,Motisons Jewellers Limited,2023-12-26
MUFIN,Mufin Green Finance Limited,2023-11-06
MUFTI,Credo Brands Marketing Limited,2023-12-27
MUKKA,Mukka Proteins Limited,2024-03-07
MUTHOOTMF,Muthoot Microfin Limited,2023-12-26
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,2023-10-03
MWL,Mangalam Worldwide Limited,2025-09-18
NATCAPSUQ,Natural Capsules Limited,2025-02-14
NAVKARURB,Navkar Urbanstructure Limited,2025-01-17
NDTV-RE,New Delhi Television Limited-RE,2025-09-22
NIBE,NIBE Limited,2025-02-07
NIVABUPA,Niva Bupa Health Insurance Company Limited,2024-11-14
NORTHARC,Northern Arc Capital Limited,2024-09-24
NOVAAGRI,Nova Agritech Limited,2024-01-31
NPST,Network People Services Technologies Limited,2025-04-30
NTPCGREEN,NTPC Green Energy Limited,2024-11-27
OCCLLTD,OCCL Limited,2024-10-29
ODIGMA,Odigma Consultancy Solutions Limited,2024-12-12
OLAELEC,Ola Electric Mobility Limited,2024-08-09
ONESOURCE,Onesource Specialty Pharma Limited,2025-01-24
ORCHASP,Orchasp Limited,2025-02-07
ORIENTTECH,Orient Technologies Limited,2024-08-28
OSWALPUMPS,Oswal Pumps Limited,2025-06-20
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,2024-02-12
PASHUPATI,Pashupati Cotspin Limited,2025-07-17
PATELRMART,Patel Retail Limited,2025-08-26
PICCADIL,Piccadily Agro Industries Limited,2025-07-02
PLATIND,Platinum Industries Limited,2024-03-05
PLAZACABLE,Plaza Wires Limited,2023-10-12
PNGJL,P N Gadgil Jewellers Limited,2024-09-17
PRABHA,Prabha Energy Limited,2025-03-19
PREMIERENE,Premier Energies Limited,2024-09-03
PRIMO,Primo Chemicals Limited,2025-04-22
PROSTARM,Prostarm Info Systems Limited,2025-06-03
PROTEAN,Protean eGov Technologies Limited,2025-02-06
PVSL,Popular Vehicles and Services Limited,2024-03-19
QPOWER,Quality Power Electrical Equipments Limited,2025-02-24
QUADFUTURE,Quadrant Future Tek Limited,2025-01-14
RACLGEAR,RACL Geartech Limited,2024-11-27
RAJOOENG,Rajoo Engineers Limited,2025-05-29
RAYMONDLSL,Raymond Lifestyle Limited,2024-09-05
RAYMONDREL,Raymond Realty Limited,2025-07-01
RBZJEWEL,RBZ Jewellers Limited,2023-12-27
REGAAL,Regaal Resources Limited,2025-08-20
RELIABLE,Reliable Data Services Limited,2024-07-10
RELTD,Ravindra Energy Limited,2024-07-30
RETAIL,JHS Svendgaard Retail Ventures Limited,2024-06-26
RHETAN,Rhetan TMT Limited,2025-09-26
RKSWAMY,R K Swamy Limited,2024-03-12
RMDRIP,R M Drip and Sprinklers Systems Limited,2025-07-30
RNBDENIMS,R&B Denims Limited,2025-09-04
ROSSTECH,Rossell Techsys Limited,2024-12-09
RPEL,Raghav Productivity Enhancers Limited,2024-08-08
RPTECH,Rashi Peripherals Limited,2024-02-14
RUBFILA,Rubfila International Limited,2024-08-08
RVTH,Revathi Equipment India Limited,2024-09-11
SAATVIKGL,Saatvik Green Energy Limited,2025-09-26
SABTNL,Sri Adhikari Brothers Television Network Limited,2024-04-01
SAGILITY,SAGILITY LIMITED,2024-11-12
SAILIFE,Sai Life Sciences Limited,2024-12-18
SAMBHV,Sambhv Steel Tubes Limited,2025-07-02
SANATHAN,Sanathan Textiles Limited,2024-12-27
SANOFICONR,Sanofi Consumer Healthcare India Limited,2024-09-13
SANSTAR,Sanstar Limited,2024-07-26
SAURASHCEM,Saurashtra Cement Limited,2024-02-27
SCILAL,Shipping Corporation of India Land and Assets Limited,2024-03-19
SCODATUBES,Scoda Tubes Limited,2025-06-04
SECMARK,SecMark Consultancy Limited,2023-10-16
SENORES,Senores Pharmaceuticals Limited,2024-12-30
SGFIN,SG Finserve Limited,2025-08-05
SGLTL,Standard Glass Lining Technology Limited,2025-01-13
SGMART,SG Mart Limited,2025-09-12
SHANTIGOLD,Shanti Gold International Limited,2025-08-01
SHREEJISPG,Shreeji Shipping Global Limited,2025-08-26
SHRINGARMS,Shringar House of Mangalsutra Limited,2025-09-17
SIGNPOST,Signpost India Limited,2024-02-14
SINCLAIR,Sinclairs Hotels Limited,2024-04-10
SMARTWORKS,Smartworks Coworking Spaces Limited,2025-07-17
SOLARWORLD,Solarworld Energy Solutions Limited,2025-09-30
SPECTRUM,Spectrum Electrical Industries Limited,2025-03-28
SRD,Shankar Lal Rampal Dye-Chem Limited,2024-10-09
SRM,SRM Contractors Limited,2024-04-03
SSDL,Saraswati Saree Depot Limited,2024-08-20
STALLION,Stallion India Fluorochemicals Limited,2025-01-23
STANLEY,Stanley Lifestyles Limited,2024-06-28
STLNETWORK,STL Networks Limited,2025-09-04
STYL,Seshaasai Technologies Limited,2025-09-30
STYLEBAAZA,Baazar Style Retail Limited,2024-09-06
SUNCLAY,Sundaram Clayton Limited,2023-12-29
SUPREME,Supreme Holdings & Hospitality (India) Limited,2025-02-03
SURAJEST,Suraj Estate Developers Limited,2023-12-26
SURAJLTD,Suraj Limited,2024-08-29
SURAKSHA,Suraksha Diagnostic Limited,2024-12-06
SUYOG,Suyog Telematics Limited,2024-08-20
SWIGGY,Swiggy Limited,2024-11-13
TARACHAND,Tara Chand InfraLogistic Solutions Limited,2024-04-16
TATATECH,Tata Technologies Limited,2023-11-30
TBOTEK,TBO Tek Limited,2024-05-15
THEJO,Thejo Engineering Limited,2023-10-10
THELEELA,Schloss Bangalore Limited,2025-06-02
TICL,Twamev Construction and Infrastructure Limited,2023-10-16
TIGERLOGS,Tiger Logistics (India) Limited,2025-09-18
TINNARUBR,Tinna Rubber and Infrastructure Limited,2025-04-17
TOLINS,Tolins Tyres Limited,2024-09-16
TRANSRAILL,Transrail Lighting Limited,2024-12-27
TRAVELFOOD,Travel Food Services Limited,2025-07-14
UDS,Updater Services Limited,2023-10-04
UNIECOM,Unicommerce Esolutions Limited,2024-08-13
UNIMECH,Unimech Aerospace and Manufacturing Limited,2024-12-31
URBANCO,Urban Company Limited,2025-09-17
UYFINCORP,U. Y. Fincorp Limited,2024-10-03
VALIANTLAB,Valiant Laboratories Limited,2023-10-06
VENTIVE,Ventive Hospitality Limited,2024-12-30
VHLTD,Viceroy Hotels Limited,2024-04-03
VIKRAMSOLR,Vikram Solar Limited,2025-08-26
VIKRAN,Vikran Engineering Limited,2025-09-03
VINCOFE,Vintage Coffee And Beverages Limited,2024-10-18
VMM,Vishal Mega Mart Limited,2024-12-18
VMSTMT,VMS TMT Limited,2025-09-24
VRAJ,Vraj Iron and Steel Limited,2024-07-03
VSTL,Vibhor Steel Tubes Limited,2024-02-20
WAAREEENER,Waaree Energies Limited,2024-10-28
WAAREERTL,Waaree Renewable Technologies Limited,2025-04-09
WCIL,Western Carriers (India) Limited,2024-09-24
XTGLOBAL,Xtglobal Infotech Limited,2024-09-16
